src,split,category,level
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lllqzohXPD8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0W_gaY5c5RU.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\G2XYLk0-_38.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LW3YaXGv5Mc.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\2cVJpBG1vHY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LTuGd5RQFiM.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0vArIdzT4K4.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1fvaCH_Se2Q.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\gsNLRX0NjIw.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\2a49qaWG9oE.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lYE9MxnOcY4.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lVwFn9m8Q_Q.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\2gi1aSciYmE.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0Jued9V5zNk.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\2f93ECh_2Vc.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LOSVSKLw_h8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\2agWm6N2260.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\BdmLB7IdGrk.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1Mgl2fNpEuk.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\Lm-eNlhJ5YI.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\-fJ4Fq583ec.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\GIdLl3lf0B4.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\5alRoEFZJCs.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_eVCAsZxcPw.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0Pu0PLVQod4.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\2yB9Ajv5OR8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0hZBaym-z8M.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_iyEqlFFrxU.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1TehKUav-20.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LmuS2GreXkc.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\flojhQpCUWg.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\ffPE0TTkCB4.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\2gBacDt9k0Y.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_NoYbs1BxWs.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1_H3B3WCSXU.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\G6rypz2CWDE.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\05lCjHF7sg4.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0-P_FPa2820.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\fQHSD6Q1ois.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1G-iF_ldr3A.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\GsTh6alxJPk.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1RTQVuK8sHw.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LqMdp2WEsbY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lV4r_8tHGAY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0mF342HNPTE.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lrceZYtfTQk.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LS7973WE6b4.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\54OeCiZcXQQ.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\fo6pBl3CM7s.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\2FHj17K-OUQ.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0wR5jVB-WPk.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\2GjXVYEc7J8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\2df3WXQ8uoQ.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1DtmA7YAh9U.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\fXe0Glo4iB4.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1MJFBGPRCow.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LUDJ_eqPE4E.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\fy1QlMsxGqg.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\fnoYbIMI69Y.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0A7w3A7444M.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\ffzjdBcNSBY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\l-LPeSUYjz8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0zbsWDsctMM.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\__lt03EF4ao.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LPnaUudTalc.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LyUxflFUoFo.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LlDUh1aLSlM.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\5Bllg23bKfY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LtBEU2WVPzI.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1MkGBIeHNgY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lZ03Bg64F-M.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\G0cjkxBtpBg.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_hIHeayGu_A.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lumzQD42AN8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\fY_FYB-x6vc.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1Y1EURI2K4Q.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\-LsQK3zOcwo.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1geCWsTcDlM.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LVtAb22UVfQ.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1U2kkbM70wo.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\4vSXeIAudls.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1lyLAsZLxKQ.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0AkA2Ru9qG0.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1djw4VYHpqQ.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_ndsOaXb9-A.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\G__lySaTeNM.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\Gn3GtDKZZPQ.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\GLkal49h2hs.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\fpz4ttwst1U.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_2siVCR5EBs.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\4SNjLULzAoY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\fmGpZz2dnUg.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\5B6XRLOXS_c.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0tlSAcpc7_o.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lQOvNQHgoQs.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lymjAF8Yd_I.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1KsJ-NkGhuY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LuQE44jD60c.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_fZNRQIXFoI.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1M7RcHl3hHU.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\B2PYviO_MBw.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\4xZ0rhHTqZo.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\AWjfCxman6A.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\4t7pnHuH8ck.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lnxw20mp3q8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\GOacl2g8Kjg.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0qb7N_CyrcM.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_6IdtK5juXM.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_04E5ylO7Vc.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0i5IfU3yOxg.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\-BEDVAFocs0.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0lya888dgZ0.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0vdaD1aG8vg.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LMT6ZTLiZxY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LSDNSbFZ_jQ.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LXjM7nBZcak.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\BEEGTv3Eb30.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0_VY2tpUC_E.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\2WgOKCYyL7g.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\40Zp30_eucY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lLUTwVgNrx8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\5bPlcd0w7uA.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_cE0yJ04jkQ.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1jlCIie7myQ.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_IrTDkCFrjA.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\-1KtlEOx78I.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0N8szFGAmMw.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LOdmaK2lUJ8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\GUyTgGDMYtE.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\FnLY_cMSO88.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lsTlczvvSsQ.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lyUFXGqCGO8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\lOBV4Vbk2d0.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\4zpTIveqvL8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0R_34yUPoTc.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\Ls56e2MvHYE.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\-02UO1KSdZ0.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LOcsLzoJ7Zo.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_3TcyjX2WQo.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1-h15Oze73U.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_5Mk3yxmVwY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0iwGDbsDIkw.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1t5_fu6IRoQ.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\FKpMyAoZNN0.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\gog9Nyh9Gro.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\LUYeniR40bE.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\FxBlqdBGq-s.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\2Z7cpbLCks4.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\0wZpjStZtUY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_Gjk4ryuAZ8.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_fsg32rNWqE.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\-0Li7rc78jQ.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\BEoXBFW5Yuw.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1X11ZC0IppQ.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\_1156Nx0jrA.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\-0ML-FXomBw.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\fORZJioiswc.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\G0Z4E1xDeEY.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1Vup5goTOyU.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\train\clean\1INSSQgdvuU.mp4,train,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\-6I88CkC6iI.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\1hnDIZGrBGE.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\glbLotvZ3Ic.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\LMGRuga2Y_Y.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\0IPSrG2K83M.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\9VT3lIeyPxc.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\lNcJaWhCF3o.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\_EE2bu1bzPU.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\0Nr7AVRWCSo.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\0Pv1zA8r9DE.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\8mrLga6XIIk.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\_HC8gu879T8.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\0XHT4ID7Wkk.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\G_J5cATQRls.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\fPwIxLuugmU.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\FX-MM3_kMrk.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\GgkZrY0WGU4.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\fgcAbiWYgL0.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\1dhlHTnoWBw.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\1uQzOwAX03E.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\G0H7Ci13xjM.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\BCgFPj0lLFg.mp4,test,clean,
C:\Users\hugoa\Desktop\Universidad\TFG\benford-corruption\source\data\test\clean\4yhtzVyPO8w.mp4,test,clean,
